date,Akkermansiamuciniphila,Alistipesputredinis,Bacteroidesacidifaciens,Bacteroidesfragilis,Bacteroidesstercoris,Bacteroidesthetaiotaomicron,Bacteroidesuniformis,Bacteroidesvulgatus,Escherichiacoli,Eubacteriumrectale,Faecalibacteriumprausnitzii,Parabacteroidesdistasonis,Roseburiaintestinalis,Sisymbriumirio
116,0.025537672,0.00062012,0.353045635,0.024607492,0.011303098,0.044817769,0.047551935,0.30146292,0.00248048,0.062237506,0.095301181,0,0.005440144,0.025594047
117,0.147314197,0.000259185,0.181980172,0.032236117,0.00307782,0.025886088,0.039104516,0.335288019,0.002073479,0.06609214,0.12619063,3.23981E-05,0.037646601,0.002818635
118,0.002812039,0.00027842,0.11468107,0.029401119,0.009104324,0.049085391,0.043377788,0.416933486,0.021132054,0.033633099,0.235487374,0,0.041122588,0.002951249
119,0.007269041,0.000579206,0.107645526,0.027917753,0.001361135,0.034549667,0.054039965,0.483550536,2.89603E-05,0.045351868,0.195684912,0.000347524,0.040834057,0.000839849
120,0.063278127,0.00076147,0.130135161,0.027717495,3.80735E-05,0.020750048,0.107214925,0.46232629,0.000456882,0.041956977,0.071463925,0,0.055282696,0.018617933
121,0.112321463,0.002666159,0.053970672,0.217634736,0.000266616,0.00906494,0.039954294,0.337802323,0.048028947,0.02209103,0.019767663,0.006322605,0.038773567,0.091334984
122,0.079046853,0.000390234,0.186800322,0.02434087,0.001658496,0.023828687,0.041438014,0.392697739,0.000365845,0.061291188,0.155459623,0.000487793,0.029730982,0.002463355
123,0.000593987,0.000274148,0.173261446,0.038974687,0.001644887,0.01955588,0.101617472,0.464178013,0.000456913,0.034314173,0.082609888,0,0.081787444,0.000731061
124,0.209710772,0.002564173,0.043232513,0.103862803,0.000330861,0.005155918,0.026220739,0.244589043,0.050787174,0.026551601,0.052827484,0.020458243,0.009401969,0.204306708
125,0.001100514,0.000660308,0.115553925,0.053558327,0.002677916,0.017644901,0.050990462,0.444020543,0.000220103,0.06841526,0.181804842,0,0.061995598,0.0013573
126,0.00014689,5.87561E-05,0.08781104,0.093774788,0.000587561,0.012661947,0.039307853,0.366461999,0.102735098,0.041364317,0.217691472,5.87561E-05,0.036399424,0.000940098
128,0.006341789,0.000400534,0.120738763,0.062594571,2.22519E-05,0.032665777,0.132643525,0.444481531,0.000645305,0.021940365,0.122696929,0.00082332,0.047730307,0.006275033
129,0.013042894,0,0.145838376,0.027699341,0.002043835,0.025709291,0.056474385,0.362753799,0.000403388,0.062632782,0.295468603,0,0.005808794,0.002124513
130,0.051981683,0,0.100836886,0.055108164,6.31612E-05,0.053339649,0.102636981,0.488930996,0.005589768,0.056718775,0.072224854,0,0.011874309,0.000694773
131,0.079534738,0.000628733,0.060615587,0.031722443,0.012803292,0.04278243,0.138006916,0.351461804,2.85788E-05,0.065359664,0.114800949,0,0.045840359,0.056414507
132,0.114652527,0.000357451,0.089184117,0.040213279,0.002263859,0.021655596,0.042983527,0.237437074,0.001489381,0.058473087,0.238777516,0,0.076375443,0.076137142
133,0.15430367,0.001009988,0.12621105,0.033030337,0.004114765,0.030823327,0.097258071,0.405453933,0,0.041409494,0.073953541,3.7407E-05,0.015561291,0.016833128
134,0.017893629,0.000185747,0.173332921,0.033774998,0.002321838,0.016624358,0.151012321,0.311652529,0.002105133,0.032289022,0.205560027,6.19157E-05,0.052937899,0.000247663
136,0.051147791,0.000242735,0.140543727,0.03446841,0.00166447,0.030966086,0.077640613,0.426902004,0.001248353,0.021256675,0.127054581,3.46765E-05,0.067515084,0.019314793
137,0.006176163,0.000886834,0.126342128,0.017419947,0.001456941,0.012669053,0.064295442,0.462547113,0,0.060082982,0.223228708,3.16726E-05,0.018401799,0.006461217
138,0.099772813,0.000425975,0.044372397,0.031900795,0.000236653,0.01739398,0.054288148,0.442517039,0.001490913,0.079988641,0.121828853,0.000638963,0.006791935,0.098352897
139,0.041126778,3.00634E-05,0.127980038,0.012536452,0.002044314,0.04491477,0.106875507,0.387487599,0,0.04674864,0.161410576,0.000901903,0.059194901,0.008748459
140,0,0,0.733333333,0,0,0.2,0,0,0,0,0,0,0,0.066666667
141,0.020684497,0.000361076,0.211693704,0.014752534,0,0.010651742,0.167694014,0.39161272,7.73734E-05,0.04286488,0.076806025,2.57911E-05,0.041523741,0.021251902
142,0.036144967,0.000354679,0.199522796,0.044334817,0.001676662,0.034436061,0.152963178,0.271748243,0.04372219,0.027600439,0.113335913,0.000193461,0.038240794,0.035725801
143,0.03914791,0.000321543,0.068207395,0.07238746,0.00096463,0.009123794,0.05096463,0.408118971,0.004662379,0.039871383,0.219855305,0.00028135,0.084324759,0.001768489
144,0.154000369,0.000158274,0.047086444,0.034582817,5.27579E-05,0.025851381,0.057057691,0.258223641,0.005961645,0.043920969,0.150386452,0,0.077395869,0.145321691
145,0.088004632,0.000736881,0.095241855,0.045133954,0,0.039107321,0.051265856,0.394020738,0.004368651,0.017685141,0.196694563,0.000105269,0.041686405,0.025948734
146,0.105662172,0.000391652,0.094556034,0.018379679,0.003608795,0.039528898,0.186006826,0.285430538,0.003552845,0.029737593,0.180439769,2.79752E-05,0.024338388,0.028338835
147,0.091753198,0,0.167523124,0.043945139,0.000708793,0.031222313,0.090938087,0.284084063,0.003331325,0.027855548,0.111386753,3.54396E-05,0.06297622,0.084239997
148,0.019720343,0.000911923,0.071130025,0.066266434,0.001443879,0.017782506,0.082681055,0.362793525,0.001253895,0.025875826,0.332016111,0,0.012766928,0.00535755
149,0.022991656,0.000548145,0.114410135,0.083774895,0.001644436,0.022930751,0.094463731,0.443632377,0,0.00676046,0.185577684,9.13576E-05,0.022839393,0.000334978
150,0.026743511,0,0.216394394,0.021975288,0.002238992,0.035533626,0.10543992,0.250393897,8.29256E-05,0.040882329,0.290778672,0,0.008499876,0.00103657
151,0.150236555,0,0.031508481,0.053007628,0.006340317,0.012069132,0.038267194,0.204402819,0.002059799,0.043159216,0.276817611,6.43687E-05,0.053168549,0.12889833
152,0.066066447,0.00019021,0.127504438,0.012617296,0.010398174,0.024125032,0.079729901,0.430604869,0.000158509,0.036457012,0.129279736,6.34035E-05,0.017118945,0.065686026
154,0.002157773,0,0.087192575,0.022691415,0.009419954,0.029141531,0.126009281,0.400092807,2.32019E-05,0.031740139,0.290696056,2.32019E-05,0.000278422,0.000533643
155,0.21879131,0.001296985,0.052428105,0.082134038,0.001072506,0.016511611,0.035816726,0.271269299,0.010101514,0.013593395,0.107375352,0.000548724,0.039907216,0.149153219
156,0.071176927,0.00014928,0.107601361,0.032184869,0.000507554,0.044694572,0.111960351,0.402758703,0,0.040037022,0.138711411,0,0.049620828,0.000597122
157,0.116271446,0.000582814,0.064655957,0.064182421,0.002877645,0.010599934,0.040287036,0.43328598,0,0.021163443,0.211962263,0,0.022766182,0.011364878
158,0.188385316,0.000460118,0.09343675,0.049495514,0.001971933,0.023893253,0.07121964,0.354652118,0.000164328,0.038091169,0.143918231,0,0.031945312,0.002366319
160,0.205969491,0.000346697,0.072333585,0.058654816,0.003088754,0.024205749,0.12679652,0.361573374,9.45537E-05,0.016893596,0.107318457,0,0.017303328,0.005421079
165,0.041036794,7.13063E-05,0.039717627,0.060218197,0.00203223,0.014724758,0.045243868,0.476041072,0.000998289,0.076832573,0.183613805,0.000213919,0.047989161,0.0112664
166,0.001208506,0.000411406,0.12002777,0.024761513,0.002031318,0.011107968,0.093414929,0.392224422,0,0.012625029,0.308966085,0,0.032012548,0.001208506
170,0.009163554,0.000173717,0.183075654,0.020650569,0.015895075,0.024385477,0.14805003,0.376921741,0,0.011313298,0.175931556,0,0.026035786,0.008403544
171,0.000673509,0.000449006,0.15522771,0.028608082,0.023316228,0.047947402,0.078383579,0.515073765,0,0.009557409,0.134188582,3.20718E-05,0.005452213,0.001090443
172,0.004953021,0,0.165851169,0.017980968,0.007324468,0.011497013,0.074235284,0.384144328,6.00366E-05,0.042505929,0.277249122,0.000150092,0.008345091,0.005703479
173,0.126452869,0.000182559,0.04609627,0.012079353,0.000669385,0.009949492,0.043935982,0.323251993,0.000334692,0.075975172,0.214750806,0,0.023732733,0.122588693
176,0.380217468,0.00019132,0.053218966,0.045279168,0.000446414,0.016612991,0.066738943,0.284110838,0.003156787,0.01642167,0.11555754,0.000286981,0.016453557,0.001307356
177,0.301353991,0,0.03661403,0.072069388,6.62098E-05,0.015095839,0.112291853,0.320422419,0.008210018,0.037673387,0.066971232,0,0.007448605,0.02178303
178,0.053148385,0.000511042,0.118087242,0.080416134,0.020295674,0.029348421,0.043949626,0.459353897,0.007811644,0.052929367,0.113998905,0.000474539,0.018068991,0.001606133
179,0.065355779,0.000452681,0.103182911,0.006959966,0.002602914,0.06926015,0.160560192,0.315801386,0,0.027783279,0.178044985,2.82925E-05,0.006931674,0.06303579
180,0.107327033,0.000471192,0.058113662,0.027093532,0.000706788,0.019554462,0.070914374,0.402502552,0.000890029,0.062171147,0.165676291,5.23547E-05,0.053794403,0.03073218
181,0.01954566,0.000776649,0.157497897,0.024270274,0.005889586,0.022361012,0.09306841,0.473076176,0,0.086175652,0.098957996,0,0.006536794,0.011843894
182,0.001399921,9.12992E-05,0.164338537,0.032898141,0.005234487,0.032654676,0.114915244,0.49776317,3.04331E-05,0.025594206,0.097142335,3.04331E-05,0.026507197,0.001399921
184,0.058804205,0.000394218,0.090177398,0.019218134,0.021024967,0.044678055,0.078876478,0.404172142,0,0.029829172,0.164093298,0.000328515,0.04218134,0.046222076
